"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ITEQ","BlueStar TA-BIGITech Israel Technology ETF","24.34","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iteq",
"BOFIL","BofI Holding, Inc.","25.8297","0","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bofil",
"BOKFL","BOK Financial Corporation","25.17","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bokfl",
"BNSO","Bonso Electronics International, Inc.","1.51","7811880.81","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bnso",
"BPFHP","Boston Private Financial Holdings, Inc.","25.98","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bpfhp",
"BPFHW","Boston Private Financial Holdings, Inc.","6.74","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bpfhw",
"BLVDU","Boulevard Acquisition Corp. II","10.26","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/blvdu",
"BLVDW","Boulevard Acquisition Corp. II","0.5","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/blvdw",
"BCLI","Brainstorm Cell Therapeutics Inc.","2.35","43836994","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bcli",
"BLIN          ","Bridgeline Digital, Inc.","0.65","12130344.85","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blin",
"BVSN","BroadVision, Inc.","4.4","21730561.6","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bvsn",
"BYFC","Broadway Financial Corporation","1.6","46522732.8","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/byfc",
"BMLA","BullMark LatAm Select Leaders ETF","30.73","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bmla",
"GYB","CABCO Series 2004-101 Trust","22.75","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","19.96","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"CLBS","Caladrius Biosciences, Inc.","4.1201","24367837.038","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/clbs",
"CALA","Calithera Biosciences, Inc.","2.55","49698329.55","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cala",
"CGIX","Cancer Genetics, Inc.","1.51","24341341.94","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cgix",
"CANF","Can-Fite Biopharma Ltd","2.5","35195910","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/canf",
"CPHC","Canterbury Park Holding Corporation","10.55","45282910.45","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CLA","Capitala Finance Corp.","25.52","0","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/cla",
"CLACW","Capitol Acquisition Corp. III","0.68","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/clacw",
"CAPN","Capnia, Inc.","1","15761530","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/capn",
"CAPNW","Capnia, Inc.","0.19","0","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/capnw",
"CPST","Capstone Turbine Corporation","1","30129019","n/a","2000","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CBYL","Carbylan Therapeutics, Inc.","0.4969","13086246.5975","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbyl",
"CCNWW","CardConnect Corp.","1.07","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/ccnww",
"CART","Carolina Trust BancShares, Inc.","6.16","28617850.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cart",
"CRTN","Cartesian, Inc.","0.6707","6027569.4981","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/crtn",
"CARV","Carver Bancorp, Inc.","4.5","16632391.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"CASM","CAS Medical Systems, Inc.","1.65","45114796.65","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CAS","Castle (A.M.) & Co.","0.4901","15998148.062","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/cas",
"CBIO","Catalyst Biosciences, Inc. ","0.755","8936077.32","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbio",
"CATYW","Cathay General Bancorp","10.5136","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/catyw",
"CBO","CBO (Listing Market - NYSE - Networks A/E)","19.5","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbo",
"CBX","CBX (Listing Market NYSE Networks AE","0.94","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbx",
"CAW","CCA Industries, Inc.","2.9","20319383.6","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw",
"CELGZ","Celgene Corporation","1.1001","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celgz",
